Date,Closure,Opening,Max,Min,Euros,% var.,Week,Year
2023-06-25,9593.00,9283.10,9642.30,9198.70,634.15,3.53,25,2023
2023-06-18,9265.80,9457.80,9503.20,9239.70,510.27,-2.41,24,2023
2023-11-06,9495.00,9345.90,9580.80,9261.10,880.62,1.99,45,2023
2023-04-06,9309.70,9352.00,9427.60,9242.30,492.11,-0.08,14,2023
2023-05-28,9317.30,9263.10,9324.80,9034.90,814.73,1.37,21,2023
2023-05-21,9191.10,9242.80,9326.60,9048.20,510.32,-0.65,20,2023
2023-05-14,9251.50,9269.30,9309.40,9125.70,526.56,0.19,19,2023
2023-07-05,9234.10,9162.20,9276.90,9118.00,544.21,0.95,27,2023
2023-04-30,9147.30,9248.20,9264.90,8967.30,603.65,-1.01,17,2023
2023-04-23,9241.00,9382.50,9433.90,9159.80,795.00,-1.85,16,2023
2023-04-16,9415.60,9387.40,9540.50,9361.00,774.41,0.56,15,2023
2023-09-04,9362.90,9352.50,9378.40,9227.10,547.63,0.54,36,2023
2023-02-04,9312.30,9214.60,9323.50,9135.50,517.80,0.86,5,2023
2023-03-26,9232.50,8897.60,9254.50,8839.80,800.62,5.00,12,2023
2023-03-19,8792.50,8668.70,9100.20,8501.20,1.25,0.84,11,2023
2023-12-03,8719.30,9272.30,9273.60,8655.30,1.95,-6.09,48,2023
2023-05-03,9285.00,9498.80,9528.30,9182.70,824.81,-1.89,18,2023
2023-02-26,9464.20,9252.00,9472.20,9246.10,962.01,2.85,8,2023
2023-02-19,9201.50,9352.70,9369.10,9118.50,770.04,-1.41,7,2023
2023-12-02,9333.00,9135.10,9363.10,9120.70,724.91,2.36,48,2023
2023-05-02,9117.40,9175.50,9296.30,9069.60,797.01,-1.17,18,2023
2023-01-29,9225.60,9045.80,9281.40,8994.00,1.29,1.83,4,2023
2023-01-22,9060.20,8925.20,9082.80,8905.00,930.36,1.59,3,2023
2023-01-15,8918.20,8896.80,8988.90,8726.70,898.81,0.41,2,2023
2023-08-01,8881.70,8692.40,8918.40,8661.40,930.09,2.08,31,2023
2023-01-01,8701.10,8297.90,8701.10,8283.70,808.22,5.74,52,2023
2022-12-25,8229.10,8307.40,8332.50,8208.70,427.89,-0.48,51,2022
2022-12-18,8269.10,8122.30,8338.60,8059.50,683.02,1.93,50,2022
2022-11-12,8112.50,8260.50,8415.70,8079.80,1.09,-2.13,45,2022
2022-04-12,8289.20,8372.80,8395.70,8194.90,607.55,-1.11,15,2022
2022-11-27,8382.60,8380.70,8469.00,8282.80,952.84,-0.40,47,2022
2022-11-20,8416.60,8102.90,8425.50,8100.50,798.98,3.55,46,2022
2022-11-13,8127.80,8123.20,8210.80,7986.10,806.90,0.37,45,2022
2022-06-11,8098.10,7910.50,8178.70,7893.20,893.78,1.96,23,2022
2022-10-30,7942.70,7913.60,8073.90,7798.40,793.97,0.33,43,2022
2022-10-23,7916.50,7612.20,7944.30,7570.00,893.93,4.92,42,2022
2022-10-16,7545.60,7416.10,7692.30,7413.40,871.55,2.21,41,2022
2022-09-10,7382.50,7389.50,7503.40,7189.60,764.16,-0.73,36,2022
2022-02-10,7436.90,7327.50,7699.90,7288.50,737.06,0.95,6,2022
2022-09-25,7366.80,7534.20,7589.20,7242.20,979.11,-2.86,38,2022
2022-09-18,7583.50,7957.80,8064.10,7527.50,823.61,-5.02,37,2022
2022-11-09,7984.70,8087.80,8235.80,7962.20,1.08,-0.60,45,2022
2022-04-09,8033.10,7801.30,8063.80,7765.50,788.38,1.27,14,2022
2022-08-28,7932.20,7970.90,8105.20,7796.70,743.88,-1.63,34,2022
2022-08-21,8063.90,8291.60,8300.90,8044.10,519.04,-3.29,33,2022
2022-08-14,8338.10,8423.90,8540.00,8320.90,548.43,-0.74,32,2022
2022-07-08,8400.40,8220.90,8453.00,8193.30,588.48,2.85,27,2022
2022-07-31,8168.00,8161.90,8230.70,8049.80,743.38,0.14,30,2022
2022-07-24,8156.20,8021.90,8207.80,7995.40,901.25,1.30,29,2022
2022-07-17,8051.60,8004.70,8173.30,7912.70,933.50,1.33,28,2022
2022-10-07,7945.90,7994.40,8099.80,7764.90,1.09,-1.91,40,2022
2022-03-07,8100.30,8226.20,8240.40,7939.70,908.01,-0.93,10,2022
2022-06-26,8176.10,8266.10,8374.80,7994.20,773.54,-0.82,25,2022
2022-06-19,8244.10,8180.40,8361.40,8034.30,833.43,1.21,24,2022
2022-12-06,8145.90,8312.90,8312.90,8025.60,1.19,-2.92,49,2022
2022-05-06,8390.60,8785.30,8881.60,8362.80,854.15,-3.83,18,2022
2022-05-29,8724.80,8975.60,8992.70,8706.40,836.86,-2.34,21,2022
2022-05-22,8933.60,8600.40,8937.70,8514.70,976.17,5.29,20,2022
2022-05-15,8484.50,8316.30,8546.90,8284.80,759.35,1.76,19,2022
2022-08-05,8338.10,8280.10,8358.40,8134.50,947.59,0.19,31,2022
2022-01-05,8322.00,8516.60,8651.20,8283.60,1.06,-3.05,1,2022
2022-04-24,8584.20,8535.60,8703.80,8344.90,1.21,-0.79,16,2022
2022-04-17,8652.30,8677.00,8877.70,8619.10,774.85,-0.54,15,2022
2022-10-04,8699.00,8580.90,8756.80,8446.30,696.90,1.08,40,2022
2022-03-04,8606.40,8536.10,8640.30,8418.00,994.11,1.21,9,2022
2022-03-27,8503.70,8354.40,8621.00,8354.40,981.69,2.08,12,2022
2022-03-20,8330.60,8417.30,8522.20,8274.50,841.90,-1.03,11,2022
2022-03-13,8417.60,8228.90,8475.50,8092.70,1.39,3.38,10,2022
2022-06-03,8142.10,7510.40,8375.30,7287.70,1.85,5.46,22,2022
2022-02-27,7720.90,8302.80,8510.30,7719.00,1.79,-9.02,8,2022
2022-02-20,8486.60,8638.80,8666.40,8048.00,1.49,-1.20,7,2022
2022-02-13,8590.00,8583.90,8798.00,8504.50,1.05,-2.37,6,2022
2022-06-02,8798.10,8646.30,8912.20,8509.00,1.30,2.43,22,2022
2022-01-30,8589.30,8697.10,8785.20,8551.10,1.20,-0.24,4,2022
2022-01-23,8609.80,8660.00,8740.60,8361.40,1.14,-0.98,3,2022
2022-01-16,8694.70,8848.40,8866.60,8622.10,911.71,-1.27,2,2022
2022-09-01,8806.60,8771.40,8817.10,8679.50,830.95,0.63,35,2022
2022-02-01,8751.80,8729.70,8834.10,8628.90,801.11,0.44,5,2022
